iter	Passed	Remaining
0	1	351
1	3	310
2	4	272
3	5	246
4	5	230
5	6	217
6	7	209
7	8	201
8	9	196
9	10	193
10	11	194
11	12	190
12	13	187
13	13	184
14	14	181
15	15	179
16	16	176
17	17	174
18	18	172
19	19	175
20	20	175
21	21	174
22	22	172
23	23	171
24	24	170
25	25	168
26	26	167
27	27	167
28	28	170
29	30	170
30	30	168
31	31	167
32	32	165
33	33	165
34	34	164
35	35	163
36	36	161
37	37	160
38	38	158
39	39	157
40	40	155
41	41	154
42	42	154
43	43	153
44	44	151
45	44	150
46	45	148
47	46	147
48	47	146
49	48	145
50	49	143
51	50	143
52	51	144
53	53	144
54	54	143
55	55	141
56	56	140
57	56	139
58	58	138
59	58	137
60	59	136
61	60	135
62	61	133
63	62	132
64	63	131
65	64	130
66	65	129
67	66	128
68	67	127
69	68	126
70	69	125
71	70	124
72	71	123
73	71	122
74	72	121
75	74	120
76	75	119
77	75	118
78	76	117
79	77	116
80	78	115
81	79	114
82	80	113
83	81	112
84	82	112
85	84	111
86	85	110
87	86	109
88	86	108
89	87	107
90	89	106
91	90	105
92	91	104
93	91	103
94	92	102
95	93	101
96	94	100
97	95	99
98	96	98
99	97	97
100	98	96
101	99	95
102	100	94
103	101	93
104	102	92
105	102	91
106	103	90
107	104	89
108	105	88
109	106	87
110	107	86
111	108	84
112	108	83
113	109	82
114	110	81
115	111	80
116	112	80
117	114	79
118	115	78
119	116	77
120	116	76
121	117	75
122	118	74
123	119	73
124	120	72
125	121	71
126	122	70
127	123	69
128	124	68
129	124	67
130	125	66
131	126	65
132	128	64
133	129	63
134	130	62
135	130	61
136	131	60
137	132	59
138	133	58
139	134	57
140	135	56
141	136	55
142	137	54
143	138	53
144	139	52
145	140	51
146	141	50
147	141	49
148	142	48
149	143	47
150	145	47
151	146	46
152	147	45
153	148	44
154	149	43
155	149	42
156	150	41
157	152	40
158	152	39
159	153	38
160	154	37
161	155	36
162	156	35
163	157	34
164	158	33
165	159	32
166	160	31
167	161	30
168	162	29
169	162	28
170	163	27
171	164	26
172	165	25
173	166	24
174	167	23
175	167	22
176	168	21
177	169	20
178	170	20
179	171	19
180	172	18
181	173	17
182	174	16
183	175	15
184	176	14
185	177	13
186	178	12
187	179	11
188	180	10
189	181	9
190	183	8
191	184	7
192	184	6
193	185	5
194	186	4
195	187	3
196	188	2
197	189	1
198	190	0
199	191	0
